"filename", "language", "TypeScript React", "TypeScript", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "Markdown", "comment", "blank", "total"
"/Users/kymok/Documents/GitHub/drip-scale/client/src/Style/index.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/kymok/Documents/GitHub/drip-scale/client/src/Style/inputElements.tsx", "TypeScript React", 325, 0, 0, 0, 0, 0, 0, 0, 8, 8, 341
"/Users/kymok/Documents/GitHub/drip-scale/client/src/Style/reset.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 23, 14, 84
"/Users/kymok/Documents/GitHub/drip-scale/client/src/index.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21
"/Users/kymok/Documents/GitHub/drip-scale/client/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/kymok/Documents/GitHub/drip-scale/client/src/reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/kymok/Documents/GitHub/drip-scale/client/src/setupTests.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/kymok/Documents/GitHub/drip-scale/client/src/utils.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/kymok/Documents/GitHub/drip-scale/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"Total", "-", 1586, 1032, 62, 3, 29813, 26, 20, 26, 129, 280, 32977
